Dimension,Covariate,Scanner_F,Scanner_p,Scanner_Partial_Eta_Sq,Covariate_F,Covariate_p,Covariate_Partial_Eta_Sq,Model_R_squared,Model_Adj_R_squared,N_observations,Scanner_Survives_Bonferroni
latent_115,SBR_PC2,12.434576920876488,2.3855639438733547e-30,0.0733886621423398,2.310737988522512,0.1286172768537393,0.0009802432709801548,0.07375827748476105,0.06746534009187621,2372,True
latent_18,SBR_PC2,12.208105575496138,1.0328881306742766e-29,0.07214846791159898,12.009857879981247,0.0005386712168586303,0.005073852075435759,0.07429747130757225,0.06800819722728402,2372,True
latent_220,SBR_PC2,11.834327980834919,1.1598995566071942e-28,0.07009432336638485,3.5562553047054926,0.05944439440124347,0.0015078102532882153,0.0707179434405023,0.0644043498502892,2372,True
latent_22,SBR_PC2,11.489987443458421,1.0761346072068562e-27,0.06819388865652454,6.944204400590937,0.008464260014256923,0.002940037443582721,0.07332006923568901,0.06702415463177014,2372,True
latent_163,SBR_PC2,11.423190008402978,1.6576956108470597e-27,0.06782432993837162,579.5422812091723,1.1425933099922052e-114,0.19748983850741217,0.24884950964250896,0.24374615174623726,2372,True
latent_23,SBR_PC2,11.314671356109752,3.3443511650329095e-27,0.06722332203691782,17.736381634184855,2.632666234617936e-05,0.0074750746738958,0.07687866029751422,0.07060692295770965,2372,True
latent_212,SBR_PC2,11.122237276200396,1.1607025783571096e-26,0.06615565826624219,93.52583764105498,1.0101538066451788e-21,0.038196794251989234,0.09588681913905373,0.08974422427970119,2372,True
latent_27,SBR_PC2,10.741437567821684,1.3603376563449485e-25,0.06403568327282683,22.417377037028295,2.3240398903401563e-06,0.00942929804987252,0.06973204968423519,0.06341175787741893,2372,True
latent_90,SBR_PC2,10.697175154848408,1.810697774207825e-25,0.06378864250379196,3.043006253135802,0.08121608150109982,0.00129047953962937,0.0640053710537829,0.057646171876229,2372,True
latent_250,SBR_PC2,10.561628071778353,4.346268147888984e-25,0.06303130491937015,64.6821300687455,1.3797416442644571e-15,0.026731664157435345,0.08695256729429213,0.08074927263472043,2372,True
latent_222,SBR_PC2,10.276648180723528,2.7366703482716653e-24,0.06143504363873175,123.81982645667794,4.560850990656063e-28,0.04995111993826144,0.10426395651775555,0.09817827639218613,2372,True
latent_171,SBR_PC2,10.0680125111236,1.0516419070739507e-23,0.06026295734171889,1.295934596779523,0.2550729467061295,0.0005499880459630337,0.060906004281464976,0.05452574783496966,2372,True
latent_114,SBR_PC2,10.046121026170116,1.2111332181271181e-23,0.06013980429151211,3.2700764631597266,0.07068184231369708,0.00138664205418917,0.06297879545646201,0.05661262166763115,2372,True
latent_107,SBR_PC2,9.854649334729773,4.162671025238223e-23,0.05906128102526051,70.75392776673002,6.914716315572779e-17,0.029167809214626157,0.08561923136554206,0.079406877948068,2372,True
latent_118,SBR_PC2,9.11250492702303,4.941584075297374e-21,0.05485742889149953,276.76857219302735,7.604063973713454e-59,0.10516447955087431,0.1390106269460003,0.13316101761739563,2372,True
latent_10,SBR_PC2,8.932417498338465,1.5709947411215585e-20,0.053831660099979604,11.723831981784285,0.000627604672133961,0.00495361217196486,0.05557069167196682,0.04915418681708417,2372,True
latent_136,SBR_PC2,8.84582975386913,2.738499110688573e-20,0.053337667682070614,11.366472676855079,0.0007598925263492792,0.00480334420221785,0.06120348178687085,0.054825246418968465,2372,True
latent_192,SBR_PC2,8.820589444697482,3.2198817552526e-20,0.05319357188534914,8.127356275070344,0.004398186051382795,0.0034392375228905407,0.0548614073964675,0.04844008362506347,2372,True
latent_34,SBR_PC2,7.669498923333078,5.034020061338054e-17,0.046575103303762695,6.157146506211245,0.013157519585374254,0.0026076817950562653,0.05000074119668674,0.04354639379080438,2372,True
latent_86,SBR_PC2,7.564813835352973,9.791521797059126e-17,0.04596859838410881,21.341894629501525,4.049518352472058e-06,0.008980986564994665,0.05278735660688727,0.04635194161992773,2372,True
latent_181,SBR_PC2,7.286286689323839,5.728532403111999e-16,0.044351155754726417,2.7566907453822775,0.09698151126958203,0.001169200688180754,0.04569922548949501,0.03921565334844701,2372,True
latent_248,SBR_PC2,7.173046888704174,1.1729136759086901e-15,0.04369198857329431,0.532950774661259,0.4654415376008446,0.00022625485858136186,0.043705478953733445,0.03720836118866322,2372,True
latent_94,SBR_PC2,7.153157600261756,1.3301022652276174e-15,0.04357611942915408,12.763628407666513,0.0003605175980708736,0.005390583863411282,0.04673337873174077,0.04025683268490754,2372,True
latent_155,SBR_PC2,7.128023240575041,1.5591527108706001e-15,0.043429653875298006,30.092979754847615,4.558542389705879e-08,0.012617109693535189,0.058947843875589934,0.05255428357920333,2372,True
latent_40,SBR_PC2,6.83829279247962,9.69830708644071e-15,0.041738061816483395,39.99227469106259,3.041016335916693e-10,0.016698289641131018,0.05703509856564848,0.050628542972039337,2372,True
latent_44,SBR_PC2,6.746863534277983,1.724017003097996e-14,0.0412030092586514,80.7132277183358,5.218204392145838e-19,0.033137409938009926,0.07063458493494978,0.06432042500244839,2372,True
latent_197,SBR_PC2,6.2633153871115,3.5647229657821695e-13,0.038363274519206195,0.3657072313224595,0.5454118039290481,0.00015526558368396214,0.03836347449866351,0.03183006286043788,2372,True
latent_154,SBR_PC2,6.025323125109597,1.5681784503441613e-12,0.03695943065535664,22.946761769019492,1.7690374133047476e-06,0.009649821492197232,0.04529694961941866,0.03881064439390303,2372,True
latent_62,SBR_PC2,5.986901187929302,1.9905879220380325e-12,0.03673240698665843,9.282455988201793,0.0023392622407077835,0.003926119725962266,0.04208724056701951,0.03557912840102051,2372,True
latent_119,SBR_PC2,5.886782035103988,3.702680155445417e-12,0.036140329875479514,393.8321300441819,3.622372576515504e-81,0.14327252862758552,0.1637185203207291,0.15803677778363,2372,True
latent_229,SBR_PC2,5.832888708004531,5.1685212896200056e-12,0.035821318127348296,27.756038497100835,1.5011537994474433e-07,0.011648711848237589,0.048459909771472076,0.041995093871830314,2372,True
latent_207,SBR_PC2,5.577520646951893,2.4964122350716827e-11,0.03430683789958795,0.12445135047408112,0.7242874759305843,5.284279155724373e-05,0.03451274821233752,0.027953174527155955,2372,True
latent_214,SBR_PC2,5.363903645814527,9.250064960549207e-11,0.03303630625631856,7.908470177386445,0.004961152420720637,0.003346921929986034,0.03676145315179402,0.030217157292103503,2372,True
latent_135,SBR_PC2,4.947261010466163,1.1633512855186116e-09,0.03054859328646772,2.668041205421171,0.10251563299204867,0.0011316441325883448,0.031727984425329314,0.025149490901255067,2372,True
latent_48,SBR_PC2,4.87512675331236,1.797229137796828e-09,0.03011658956562085,6.656115051765003,0.009941686112025373,0.0028184099324804145,0.03290685351372158,0.026336369291309447,2372,True
latent_102,SBR_PC2,4.853945235083202,2.04164535923105e-09,0.029989662766842888,11.155652439756071,0.0008508230510813088,0.004714673959954163,0.03421856393020695,0.027656991540773057,2372,True
latent_187,SBR_PC2,4.817789147952749,2.5375270268991826e-09,0.029772926532494904,74.16575620058545,1.2922999326366859e-17,0.030531369055929215,0.0627595962089057,0.056391933168286834,2372,True
latent_38,SBR_PC2,4.758393256408088,3.6246817728542543e-09,0.02941666989029383,4.693700549656263,0.03037338028382327,0.0019891143280854353,0.03168043536254361,0.025101618787512048,2372,True
