Feature,Coefficient,Abs_Coefficient,Rank
latent_235,0.020140496663896577,0.020140496663896577,65
latent_10,0.020082844747557338,0.020082844747557338,66
latent_201,0.02003397756952918,0.02003397756952918,67
latent_204,-0.01992467632377765,0.01992467632377765,68
latent_68,-0.019832084029795784,0.019832084029795784,69
latent_100,-0.019713022805320553,0.019713022805320553,70
latent_239,-0.019660116410801683,0.019660116410801683,71
latent_243,-0.019417882288410165,0.019417882288410165,72
latent_225,0.019152023192183298,0.019152023192183298,73
latent_120,-0.018607184310666356,0.018607184310666356,74
latent_181,-0.018529472512020077,0.018529472512020077,75
latent_138,0.018496439301203503,0.018496439301203503,76
latent_49,0.0182781265675715,0.0182781265675715,77
latent_177,0.0182346004178751,0.0182346004178751,78
latent_152,-0.018148675678408777,0.018148675678408777,79
latent_48,-0.01800541851270917,0.01800541851270917,80
latent_20,0.0179099847895926,0.0179099847895926,81
latent_35,0.017680181716441357,0.017680181716441357,82
latent_171,-0.017637264904424174,0.017637264904424174,83
latent_105,0.017237805848706694,0.017237805848706694,84
latent_3,0.016632273064532143,0.016632273064532143,85
latent_107,0.016618113214285284,0.016618113214285284,86
latent_170,0.016517533938999258,0.016517533938999258,87
latent_11,-0.016488155280431196,0.016488155280431196,88
latent_168,-0.01636685645446973,0.01636685645446973,89
latent_90,0.016048351437979787,0.016048351437979787,90
latent_209,0.015889172969215718,0.015889172969215718,91
latent_228,-0.015487312530904906,0.015487312530904906,92
latent_21,-0.015452445905780517,0.015452445905780517,93
latent_157,-0.01526608934674049,0.01526608934674049,94
latent_135,-0.01525101686011306,0.01525101686011306,95
latent_240,-0.015182029022095726,0.015182029022095726,96
latent_24,-0.015074680096622023,0.015074680096622023,97
latent_102,0.015014038106943725,0.015014038106943725,98
latent_32,-0.014819920488892151,0.014819920488892151,99
latent_156,0.014805659039276255,0.014805659039276255,100
latent_211,-0.014497865372055546,0.014497865372055546,101
latent_27,0.014214498177045443,0.014214498177045443,102
latent_64,-0.013956673853987007,0.013956673853987007,103
latent_246,-0.013673237549736724,0.013673237549736724,104
latent_67,0.013456316410092152,0.013456316410092152,105
latent_9,-0.013276810561002793,0.013276810561002793,106
latent_43,-0.013260997067238153,0.013260997067238153,107
latent_172,-0.013210184634196001,0.013210184634196001,108
latent_122,-0.013152713530729394,0.013152713530729394,109
latent_165,-0.013084715872342027,0.013084715872342027,110
latent_13,0.013056702125987214,0.013056702125987214,111
latent_96,-0.013048650669429947,0.013048650669429947,112
latent_108,0.012976803764891947,0.012976803764891947,113
latent_151,-0.012850956202366192,0.012850956202366192,114
latent_212,0.01284090436422464,0.01284090436422464,115
latent_29,-0.012691065672464547,0.012691065672464547,116
latent_155,0.012637037733341955,0.012637037733341955,117
latent_140,-0.012459785414873503,0.012459785414873503,118
latent_47,-0.012192415526281851,0.012192415526281851,119
latent_169,-0.012007155138487564,0.012007155138487564,120
latent_255,0.011793569257248499,0.011793569257248499,121
latent_89,-0.011761547683093487,0.011761547683093487,122
latent_65,0.011667519570572792,0.011667519570572792,123
latent_237,0.011577437595357553,0.011577437595357553,124
latent_144,-0.011507479678737642,0.011507479678737642,125
latent_226,-0.011267806135268343,0.011267806135268343,126
latent_46,-0.011087923864411257,0.011087923864411257,127
latent_50,0.011059152001634029,0.011059152001634029,128
latent_69,0.010942102356558325,0.010942102356558325,129
latent_195,-0.01092552946610351,0.01092552946610351,130
latent_231,0.01081879203457585,0.01081879203457585,131
latent_206,0.010809705256260278,0.010809705256260278,132
latent_18,-0.010799101825379515,0.010799101825379515,133
latent_221,-0.010625643738236728,0.010625643738236728,134
latent_217,-0.010481964248899786,0.010481964248899786,135
latent_150,0.010399253610843599,0.010399253610843599,136
latent_111,0.010345274532218136,0.010345274532218136,137
latent_88,-0.010244086369952261,0.010244086369952261,138
latent_248,-0.010090214321229477,0.010090214321229477,139
latent_180,-0.010082711802596426,0.010082711802596426,140
latent_220,-0.00995440356942989,0.00995440356942989,141
latent_95,-0.009839828980804086,0.009839828980804086,142
latent_137,-0.009655841737984805,0.009655841737984805,143
latent_247,-0.009641380630995278,0.009641380630995278,144
latent_129,0.009632368328579392,0.009632368328579392,145
latent_118,-0.00951386660936231,0.00951386660936231,146
latent_61,-0.009408003677346158,0.009408003677346158,147
latent_229,0.00925209086133266,0.00925209086133266,148
latent_183,-0.009183164869557104,0.009183164869557104,149
latent_132,0.009129896920651923,0.009129896920651923,150
latent_193,0.009106460317582773,0.009106460317582773,151
latent_249,0.009064571362599779,0.009064571362599779,152
latent_81,-0.008969779514327168,0.008969779514327168,153
latent_84,0.008925980059177076,0.008925980059177076,154
latent_7,-0.008836479791629112,0.008836479791629112,155
latent_164,0.008775669331947199,0.008775669331947199,156
latent_130,0.008770715473090631,0.008770715473090631,157
latent_97,-0.008668646810936787,0.008668646810936787,158
latent_252,0.00855773258086055,0.00855773258086055,159
latent_250,0.00852095275395406,0.00852095275395406,160
latent_223,0.0083686554573664,0.0083686554573664,161
latent_147,-0.008358120742990026,0.008358120742990026,162
latent_66,0.00833154187648498,0.00833154187648498,163
latent_127,0.008303222688816923,0.008303222688816923,164
latent_12,-0.00814155592595046,0.00814155592595046,165
latent_188,0.008120144773381383,0.008120144773381383,166
latent_57,0.008094599642010397,0.008094599642010397,167
latent_158,-0.008082012370729892,0.008082012370729892,168
latent_56,-0.007904775978984447,0.007904775978984447,169
latent_182,0.007865625034885032,0.007865625034885032,170
latent_167,-0.007545701650819895,0.007545701650819895,171
latent_179,0.007420946104675176,0.007420946104675176,172
latent_192,0.007416819759820531,0.007416819759820531,173
latent_70,-0.0073803133464729635,0.0073803133464729635,174
latent_215,0.0073364167986654715,0.0073364167986654715,175
latent_38,0.0072287747217967555,0.0072287747217967555,176
latent_36,-0.007126054258103654,0.007126054258103654,177
latent_191,-0.007099893901561843,0.007099893901561843,178
latent_139,0.007051836337606038,0.007051836337606038,179
latent_163,-0.007037064656169988,0.007037064656169988,180
latent_60,-0.007008410624676323,0.007008410624676323,181
latent_131,-0.006845349135125662,0.006845349135125662,182
latent_245,0.006593960174180679,0.006593960174180679,183
latent_141,-0.006573057564797139,0.006573057564797139,184
