Feature,Eta_Squared,F_Statistic,P_Value,Rank
latent_153,0.0018937386705427128,6.283013994070291,0.0018789145388779854,84
latent_32,0.0018923918339771638,6.278537010383168,0.001887329271047967,85
latent_163,0.001891028424743173,6.274004950234892,0.0018958859184517614,86
latent_123,0.0018850228482890038,6.254042174502105,0.0019340404614414909,87
latent_174,0.0018624185258554237,6.178906658600702,0.002084660580463441,88
latent_79,0.001859670166548114,6.169771496510559,0.0021037557758104195,89
latent_252,0.0018383514918697223,6.098912910975262,0.002257937484777991,90
latent_155,0.0018373446585899487,6.09556649345843,0.002265492209922527,91
latent_114,0.0018317825952415823,6.0770799534310544,0.0023076845714971217,92
latent_49,0.0018273421690361328,6.062321528534547,0.0023419316851045024,93
latent_6,0.0018265043251928926,6.059536843128914,0.002348450369193785,94
latent_157,0.0018039139734160761,5.984456567793304,0.002531215652016947,95
latent_179,0.0017901277817989594,5.938639072216488,0.0026496693080232314,96
latent_116,0.0017883503349791173,5.932731937431011,0.002665339411166719,97
latent_170,0.0017807629273682147,5.9075163200353735,0.002733279108340564,98
latent_73,0.001773605727726313,5.883730785988107,0.0027989526391624733,99
latent_88,0.0017663517200985914,5.859623877822203,0.0028671242651014664,100
latent_187,0.001752933814939511,5.815033697375313,0.002997627812980223,101
latent_137,0.0017141851771576631,5.686271536538829,0.0034087995486905887,102
latent_80,0.001672198230770144,5.546759722990626,0.003918213397906426,103
latent_24,0.0016347735188589785,5.422416931309059,0.004436088309148314,104
latent_141,0.0015993070269751447,5.304588886108952,0.00498987315277039,105
latent_94,0.0015574395016255196,5.165505872524696,0.005733200795312393,106
latent_247,0.0015519832278202163,5.147381108073553,0.005837896615941893,107
latent_186,0.001546184403736785,5.128118670082587,0.005951261193086848,108
latent_165,0.001496274101542088,4.962336703148645,0.00702259590561512,109
latent_12,0.0014809032062751179,4.911284103956531,0.007389865538092632,110
latent_26,0.0014488482718718954,4.804822511095622,0.008218725755860745,111
latent_42,0.0014406069453754568,4.777452330619551,0.00844644647601864,112
latent_5,0.0014302765289212172,4.74314473410909,0.008740821404769344,113
latent_192,0.0013839565854129956,4.589323657293246,0.01019205810718185,114
latent_68,0.001366513916773838,4.531403060741567,0.010798959017003269,115
latent_241,0.0013660974910763878,4.5300202910535745,0.010813881388503862,116
latent_147,0.0013600552523300893,4.50995675846823,0.011032735489770898,117
latent_81,0.001337128012927118,4.433828010445434,0.011904219158978237,118
latent_222,0.0013369815476741555,4.433341691158602,0.01191000207397834,119
latent_16,0.0013359908968976746,4.430052364708664,0.011949189930242026,120
latent_236,0.0013325930594814655,4.418770339158275,0.012084582418429609,121
latent_98,0.00132783821979258,4.402982713571277,0.01227662545029255,122
latent_142,0.00132576753807946,4.396107418859973,0.012361208929052238,123
latent_144,0.0013247443656425467,4.392710184892656,0.012403218418381545,124
latent_180,0.0013153427756581165,4.361494461823257,0.012795972919473592,125
latent_140,0.0013087659187962669,4.339657936500335,0.01307809090854461,126
latent_66,0.001308516469583244,4.338829719171168,0.013088912710435132,127
latent_51,0.0013021678051608732,4.317751123293657,0.013367369094309437,128
latent_82,0.0012991870323496913,4.307854566415929,0.013500143021985574,129
latent_240,0.001298876419677946,4.306823294985082,0.013514054410940472,130
latent_85,0.0012977729037247914,4.3031594944769775,0.013563593504250494,131
latent_194,0.0012947017419299668,4.292962924978117,0.013702422025857176,132
latent_118,0.0012669730252188054,4.200903604560621,0.015021973283986498,133
latent_248,0.001245114977597727,4.1283385044193235,0.016151096950280556,134
latent_22,0.0012397873268625082,4.110652067243272,0.01643893214150035,135
latent_230,0.0012361589446718974,4.098606874829981,0.016637891479813868,136
latent_182,0.0012082687144357005,4.006022199146378,0.018249802002854303,137
latent_35,0.0012022642908136364,3.9860905333375323,0.018616752988689624,138
latent_151,0.0011973148671630166,3.96966111688317,0.018924768717829027,139
latent_245,0.0011923613623917096,3.9532183163376753,0.019238139333495788,140
latent_50,0.0011763705975238114,3.900139242831626,0.02028559322562888,141
latent_150,0.0011531700496292849,3.8231313399043687,0.021907502261521557,142
latent_221,0.0011356018297235925,3.7648207965147757,0.02322136966115892,143
latent_135,0.0011209088079249686,3.716054876084884,0.02438050556756178,144
latent_87,0.0011052644966091333,3.664133216876614,0.025678337219813937,145
latent_47,0.0010993380903554046,3.6444645849490946,0.026187826827395302,146
latent_129,0.0010867336119257918,3.602633458763365,0.02730527975608892,147
latent_124,0.0010543703168892642,3.4952325738552457,0.030397670822990542,148
latent_8,0.0010451532943200983,3.4646462205520465,0.03134078337821143,149
latent_59,0.0010205218941410276,3.3829105867677223,0.03400717211297828,150
latent_148,0.001020136779585515,3.3816326734626596,0.03405061371207574,151
latent_89,0.0010196534031792419,3.3800287023972886,0.034105217943900826,152
latent_31,0.0010163203521528852,3.3689687977091722,0.034484123762202036,153
latent_78,0.0010129398291645617,3.357751444452963,0.03487272514192375,154
latent_205,0.0009953532232505563,3.29939626349986,0.03696611169831798,155
latent_229,0.0009896861887473804,3.2805925711955717,0.03766708447257678,156
latent_10,0.0009895722361885641,3.280214469306014,0.037681315061564385,157
latent_19,0.0009576087264314828,3.1741609017564585,0.04189282891518123,158
latent_238,0.0009520754548978456,3.15580243092921,0.04266827227796204,159
