Dimension,Cluster_0_Mean,Cluster_1_Mean,Difference,t_statistic,p_value,Cohens_d
latent_33,0.008015146165211172,-0.05636152896815658,0.06437667513336776,13.452256252980584,1.4095128340598556e-39,0.5765489425592891
latent_71,0.023064824642031335,0.07377544441049821,-0.05071061976846688,-12.864554775194792,1.823593003988452e-36,0.5759131352122957
latent_103,0.03498413625889101,0.1325840352738434,-0.09759989901495239,-13.132584284848672,7.178927615498854e-38,0.5745933530925734
latent_1,0.02361880182118256,0.08304049182519574,-0.05942169000401318,-13.22319502439661,2.3750484421671967e-38,0.5724743733818397
latent_163,0.37538265048561303,0.8725083429145908,-0.49712569242897775,-12.565960172241834,6.271605222277389e-35,0.5633198358662396
latent_84,-0.146796726885327,-0.1942133539297153,0.047416627044388315,12.588799622756472,4.796543252494948e-35,0.5614069526226385
latent_28,-0.041282954972520436,-0.09051819767414591,0.04923524270162548,12.457347284700113,2.232104951119895e-34,0.5596971985416481
latent_19,-0.36393252388803815,-0.4794476374763345,0.11551511358829636,12.614391888872802,3.550018960769603e-35,0.5572771274314969
latent_110,0.009080972100559947,0.06425871498265125,-0.0551777428820913,-12.750251012923593,7.123124996983368e-36,0.5523198095800393
latent_194,-0.09133430990109744,-0.1405753055566548,0.049240995655557354,12.639803376430683,2.631691787427442e-35,0.5523168761381793
latent_139,0.13715186855679157,0.1840877968600356,-0.04693592830324403,-12.321765919868744,1.074641133684416e-33,0.5486288372661818
latent_113,-0.015491680290036785,-0.11735071868185054,0.10185903839181376,12.32520695010172,1.0328060347414226e-33,0.5434383634747795
latent_73,-0.03277438652241212,-0.11126327213060498,0.07848888560819287,12.378646623477334,5.56778655954107e-34,0.5420242226571939
latent_57,-0.08924884881861037,-0.13603534581839857,0.04678649699978821,12.053833731997116,2.2984152697189873e-32,0.5339775054384271
latent_245,0.02381838161379428,-0.0383515453016726,0.062169926915466876,12.345755783484748,8.146170552250284e-34,0.5330610040572689
latent_48,0.450217985040872,0.542868931136299,-0.09265094609542696,-12.599234031558575,4.24294754558548e-35,0.5329308761573341
latent_41,-0.037999468781994554,-0.10529183229977758,0.06729236351778303,12.49151412325265,1.4986981854112094e-34,0.5296630069484877
latent_158,0.13291282222188147,0.2119895313011922,-0.07907670907931072,-11.495635577662975,1.1275345242273508e-29,0.5231736701249132
latent_54,0.00951378052130109,-0.07254989849998221,0.0820636790212833,11.938808942690526,8.410540601049433e-32,0.5190170805585079
latent_11,0.04858786721280313,0.10118943615870106,-0.05260156894589793,-12.098359604280178,1.3870816559763636e-32,0.5177811199583963
latent_219,-0.024557684835640324,-0.09004185071825622,0.06548416588261591,11.839421631038109,2.558022926170655e-31,0.5166572618084736
