Dimension,BIC_1,BIC_2,Delta_BIC,Is_Bimodal,Means_k2,Weights_k2
latent_217,1666.3827549161635,1675.203457873174,-8.820702957010553,False,[ 0.15388178 -0.15170306],[0.45080375 0.54919625]
latent_116,6629.667924463455,6640.536562111544,-10.868637648089134,False,[1.03418275 0.00701711],[0.55570005 0.44429995]
latent_44,5475.648541788352,5487.212902858468,-11.56436107011541,False,[ 0.18740064 -0.66356291],[0.45283099 0.54716901]
latent_251,2062.902218585237,2080.4395369872873,-17.53731840205046,False,[-0.18534286  0.0640179 ],[0.44857063 0.55142937]
latent_99,6850.189057491638,6868.937441031404,-18.74838353976611,False,[-0.06849177 -1.18872606],[0.56078989 0.43921011]
latent_136,5079.31350036073,5098.975577689051,-19.662077328320265,False,[-1.15599017 -0.46111466],[0.56256348 0.43743652]
latent_155,4637.866204201359,4658.964696587612,-21.098492386252474,False,[ 0.42036432 -0.10264876],[0.54127723 0.45872277]
latent_95,2279.487869647484,2302.5884859020302,-23.100616254546367,False,[0.10164717 0.45956963],[0.44557248 0.55442752]
latent_47,-73.37046442013073,-50.10600057492064,-23.264463845210088,False,[ 0.16209492 -0.04653617],[0.54712469 0.45287531]
latent_119,5752.911662416148,5776.760390973511,-23.848728557362847,False,[-0.93670787  0.02292547],[0.56116306 0.43883694]
latent_115,3455.8291167262437,3481.257434842589,-25.42831811634551,False,[0.07486599 0.54919396],[0.44219138 0.55780862]
latent_220,4170.815155259014,4197.581773214168,-26.76661795515338,False,[-0.43139135  0.12747185],[0.45052825 0.54947175]
latent_212,3507.8511164371484,3534.895649260421,-27.044532823272675,False,[-0.38256401  0.08164459],[0.46408843 0.53591157]
latent_185,4925.58231078993,4952.660584065705,-27.078273275775246,False,[ 0.33930684 -0.36215234],[0.41237152 0.58762848]
latent_228,410.8846134767783,439.1851270852533,-28.300513608475,False,[ 0.08235987 -0.1686182 ],[0.56062971 0.43937029]
latent_223,510.72256362100063,539.6724179670396,-28.949854346038933,False,[-0.05414557  0.16409244],[0.54289293 0.45710707]
latent_181,1049.5335884903027,1079.819866858501,-30.286278368198282,False,[ 0.1947824  -0.06463663],[0.42125887 0.57874113]
latent_213,6824.9173299771965,6855.736012359787,-30.81868238259085,False,[-1.27445815 -0.17765205],[0.45564559 0.54435441]
latent_76,122.10688834298361,152.9406971121873,-30.8338087692037,False,[ 0.08674976 -0.10235831],[0.51042264 0.48957736]
latent_62,632.7876325339573,663.7056994824096,-30.918066948452292,False,[-0.12754166  0.11881998],[0.4929872 0.5070128]
latent_154,528.9902137945079,559.9251250260146,-30.934911231506703,False,[0.3392082  0.12047718],[0.55085156 0.44914844]
latent_134,6332.652034164504,6364.326173462979,-31.674139298474984,False,[-0.47389811  0.5596496 ],[0.60279833 0.39720167]
latent_102,1725.6903654529453,1757.4860755821433,-31.795710129197914,False,[-0.18660889  0.08728717],[0.55763928 0.44236072]
latent_250,7067.76661456443,7099.576366593139,-31.809752028709227,False,[-0.11538331  1.04972171],[0.57976838 0.42023162]
latent_51,3592.1712046515613,3624.312786297716,-32.141581646154464,False,[0.10146615 0.5923736 ],[0.45572408 0.54427592]
latent_15,-36.80847387248475,-3.6891970903320157,-33.11927678215273,False,[-0.10813936  0.07224851],[0.50381888 0.49618112]
latent_135,6920.072441896479,6953.45711558106,-33.384673684580775,False,[1.1436148  0.06942349],[0.52870544 0.47129456]
latent_112,807.7306464121807,841.2019726127741,-33.47132620059335,False,[0.19578535 0.00445587],[0.55229961 0.44770039]
latent_86,2060.686193432508,2094.1929155592275,-33.506722126719524,False,[ 0.12705825 -0.19405884],[0.53447712 0.46552288]
latent_118,5899.828217667239,5933.545463175672,-33.717245508432825,False,[-1.28635195 -0.37807221],[0.49803719 0.50196281]
latent_55,-106.50397897150322,-72.435032468848,-34.06894650265522,False,[ 0.14942267 -0.01718838],[0.51870218 0.48129782]
latent_196,4153.033310787588,4187.486113648508,-34.4528028609202,False,[ 0.2808288 -0.1443126],[0.45485395 0.54514605]
latent_171,2714.8542781967994,2749.4532289265508,-34.59895072975132,False,[-0.23262868  0.10701161],[0.48377854 0.51622146]
