Dimension,Covariate,Scanner_F,Scanner_p,Scanner_Partial_Eta_Sq,Covariate_F,Covariate_p,Covariate_Partial_Eta_Sq,Model_R_squared,Model_Adj_R_squared,N_observations,Scanner_Survives_Bonferroni,Cov_Survives_Bonferroni
latent_38,SBR_PC1,7.05713863538921,2.4399317321653816e-15,0.04301634597610186,182.92061084196564,3.3968801604000508e-40,0.0720749932289178,0.09968122445092631,0.09356440899072027,2372,True,True
latent_248,SBR_PC1,7.044923986523111,2.6355655213116366e-15,0.04294508976761681,0.06040313510807836,0.8058813164840655,2.5648231793829318e-05,0.043513596521318254,0.03701517509641006,2372,True,False
latent_40,SBR_PC1,7.029163716742953,2.9112888504000545e-15,0.04285313390295279,7.991429273479702,0.004739612565066919,0.003381912085875288,0.04426498282541269,0.03777166636053231,2372,True,False
latent_135,SBR_PC1,6.94505719223252,4.949229606261344e-15,0.04236210173807892,630.5794689607357,1.6824313878125953e-123,0.21120840209295685,0.23536988043777896,0.23017494119659188,2372,True,True
latent_86,SBR_PC1,6.898300900457377,6.645657220719109e-15,0.042088910394788154,9.825605242970067,0.0017421946494395248,0.004154896336197506,0.0481745957810098,0.041707841442366944,2372,True,False
latent_44,SBR_PC1,6.434042231088485,1.2267716605532435e-13,0.03936782168057151,1.8108034443797978,0.17854141726317282,0.0007683278783911651,0.03952085099506941,0.032995302636649515,2372,True,False
latent_62,SBR_PC1,6.195171960752376,5.451758161079682e-13,0.03796173554841612,4.310874028000706,0.03797773505692581,0.0018271750770346101,0.04006870971266352,0.033546883536613725,2372,True,False
latent_94,SBR_PC1,6.182438399115586,5.901863766304438e-13,0.0378866651323988,47.03892806451822,8.86092737208934e-12,0.019582916627592126,0.060335780722440835,0.05395165014560821,2372,True,True
latent_207,SBR_PC1,5.9323435853794155,2.7920837515244713e-12,0.03640985856359921,16.0632844129825,6.316365939916619e-05,0.006774717705166347,0.041002975711277645,0.034487496989995425,2372,True,True
latent_187,SBR_PC1,5.856074703481235,4.477851669469745e-12,0.03595858928900031,9.913844880732562,0.0016609480651108503,0.004192053297075834,0.03729588325372801,0.030755218341651402,2372,True,False
latent_118,SBR_PC1,5.79415767910011,6.566871438247817e-12,0.03559192640390422,8.001987336156793,0.004712150353387374,0.003386365047105838,0.04108215518256875,0.034567214410985314,2372,True,False
latent_197,SBR_PC1,5.698776255787946,1.1832267291660794e-11,0.03502654652318084,0.9894123017471568,0.3199882455323839,0.0004199561749220782,0.03861805016599429,0.03208636812890553,2372,True,False
latent_154,SBR_PC1,5.459006497310306,5.1676490996541144e-11,0.03360236292840241,12.071350936580112,0.0005212789646882644,0.005099698803673085,0.04091060617786424,0.03439449989287313,2372,True,True
latent_214,SBR_PC1,5.307699698219832,1.3039688133391383e-10,0.032701465845973325,8.187371965065905,0.004255515096461562,0.0034645462573955122,0.03687513391865316,0.030331610412367982,2372,True,False
latent_102,SBR_PC1,5.0606225006070495,5.860528719984452e-10,0.031226725052151974,29.470215978730398,6.260218902318361e-08,0.012359230063452081,0.04163650748728398,0.03512533301585996,2372,True,True
latent_196,SBR_PC1,4.9438190669166096,1.1877761501256982e-09,0.030527988628413046,1.6046620552878155,0.2053690454460658,0.0006809211918847375,0.03342309871000537,0.02685612188595443,2372,True,False
latent_17,SBR_PC1,4.778205808490772,3.218483370628241e-09,0.029535534682261836,24.29463154374237,8.842263576100215e-07,0.0102108546044083,0.0374036263894566,0.0308636934901918,2372,True,True
latent_75,SBR_PC1,4.661111458038943,6.488817169093213e-09,0.02883260801561908,20.119036965669306,7.6263261814884984e-06,0.008470748898283583,0.03967299959879733,0.03314848494639,2372,True,True
latent_6,SBR_PC1,4.241205748818396,7.800821067005232e-08,0.02630348569475068,15.359333935947893,9.141523335453572e-05,0.006479749173912775,0.0304169193174626,0.023829518344672507,2372,True,True
latent_233,SBR_PC1,4.1245743319831,1.543072967510581e-07,0.02559866705053181,12.270276034916135,0.0004688064351411286,0.005183301695262428,0.028271573419334728,0.021669596848086004,2372,True,True
latent_147,SBR_PC1,4.109295595089616,1.6867983079329995e-07,0.02550626008208344,0.6781052204454436,0.4103233304111832,0.0002878598815953194,0.02594451450203683,0.019326727764046425,2372,True,False
latent_67,SBR_PC1,3.8983886465668074,5.723270496498421e-07,0.02422888556783561,0.23172042188320255,0.6302958092485953,9.838540296225944e-05,0.024834670672503334,0.018209343594269845,2372,True,False
latent_112,SBR_PC1,3.80897736382751,9.56324048627356e-07,0.02368634777901588,0.2899848150221207,0.5902811548372114,0.00012312064199809997,0.024827979018341995,0.018202606476640737,2372,True,False
latent_119,SBR_PC1,3.3944527068434107,9.925301865182597e-06,0.021163155268514987,154.97019364717139,1.6881703743178232e-34,0.061741846193794164,0.08413358576065522,0.07791113878493139,2372,True,True
latent_150,SBR_PC1,3.342638106893586,1.3228208123797931e-05,0.020846844896397376,2.8019663332945566,0.09428157283025952,0.0011883806924005574,0.021316903559719713,0.014667676577535205,2372,True,False
latent_95,SBR_PC1,3.16388167167201,3.5280165087965936e-05,0.01975402717922265,1.7413631191765353,0.18709447176483487,0.0007388859662020018,0.020324051158098766,0.013668078681890572,2372,True,False
latent_185,SBR_PC1,3.0937307848325113,5.161178666592011e-05,0.019324496778643473,4.720430342337596,0.029905699276851393,0.0020004193215603836,0.02050945264070403,0.013854739792403037,2372,True,False
latent_217,SBR_PC1,2.9737328650801507,9.83059903751986e-05,0.018588882135970156,4.121776290608176,0.04244678747456466,0.0017471655478035976,0.01900241817623627,0.012337466452592816,2372,True,False
latent_50,SBR_PC1,2.725864824288555,0.00036168259860538233,0.017065894914935834,0.06457251439294937,0.7994318161973353,2.741857490727241e-05,0.017091141793058706,0.010413204752162342,2372,True,False
latent_72,SBR_PC1,2.595155822266191,0.0007066472428588693,0.01626086837595683,5.619972523251847,0.01783701680032045,0.002380718874137413,0.017185692407153286,0.01050839774834833,2372,True,False
latent_216,SBR_PC1,2.1811876919669095,0.005359684983314876,0.013702546912690131,42.0686805599982,1.0703622630446969e-10,0.017550052237205904,0.032392120866638674,0.02581813952220824,2372,False,True
latent_142,SBR_PC1,2.1732914291471683,0.005561880694803944,0.013653618704709426,5.691026169357484,0.01713049894591262,0.0024107458817226876,0.018250111674827374,0.011580048739284754,2372,False,False
latent_51,SBR_PC1,1.5252170272537926,0.08780348052417404,0.009621289633633342,0.6789504366478608,0.4100318118593138,0.00028821857771493467,0.010480022323277716,0.0037571689717585954,2372,False,False
