Feature,Eta_Squared,F_Statistic,P_Value,Rank
latent_238,0.05812018990268732,9.69204817449647,1.186071746752375e-22,59
latent_109,0.057829220013830236,9.640548206811225,1.652663846096929e-22,60
latent_222,0.057168465454076986,9.523716568989023,3.5068535754920514e-22,61
latent_236,0.05694172593993701,9.483663240796888,4.538321958988311e-22,62
latent_136,0.056672354409632746,9.436104031173809,6.163572434559481e-22,63
latent_98,0.05563945162404082,9.25399013838325,1.988913111660859e-21,64
latent_195,0.05508423200543999,9.156262388710172,3.7279011906412994e-21,65
latent_43,0.05385892838387523,8.940994747267693,1.4859207938342565e-20,66
latent_106,0.05380725218397941,8.931928259371562,1.574973160911191e-20,67
latent_110,0.053524668842360235,8.882367075773772,2.164849485806353e-20,68
latent_194,0.05342201915570942,8.86437107686152,2.4298693640634105e-20,69
latent_77,0.05290783119434165,8.774285080128385,4.330872910364778e-20,70
latent_132,0.052822992580400664,8.759430711440539,4.763749881727439e-20,71
latent_170,0.05261148436344135,8.72240938217291,6.040144474796865e-20,72
latent_74,0.05195610146845075,8.607799368030102,1.2591193435705096e-19,73
latent_3,0.05162950559779322,8.550745087240383,1.8146427538268853e-19,74
latent_192,0.051599633268481104,8.545528537313485,1.8762924276673468e-19,75
latent_29,0.05156232572082731,8.539014050350145,1.9562272492847458e-19,76
latent_108,0.051409723301182916,8.512372592805143,2.320112736486171e-19,77
latent_10,0.05086906512015752,8.418052980102512,4.2432924592731597e-19,78
latent_225,0.050831969924364034,8.411585539268419,4.422574167510095e-19,79
latent_239,0.05040666231260039,8.33747048659131,7.105122548997273e-19,80
latent_193,0.05027716405507319,8.314917014421912,8.207380298198916e-19,81
latent_60,0.05006717237741583,8.278357843919565,1.0368366340122736e-18,82
latent_14,0.04986589471875234,8.24333093643337,1.2969869783989948e-18,83
latent_59,0.04966275532055919,8.207995087379375,1.625519004154311e-18,84
latent_172,0.049225844882544355,8.132046215114537,2.6403248921468344e-18,85
latent_21,0.048787165635729164,8.055860061686278,4.29389806986064e-18,86
latent_139,0.04870435788714091,8.04148658610804,4.706318865596721e-18,87
latent_156,0.04849341183248444,8.004882621455128,5.944167979677274e-18,88
latent_84,0.04785556930180626,7.894301021283745,1.2029818537035647e-17,89
latent_34,0.04751696853543677,7.835658601172245,1.7478378866009218e-17,90
latent_58,0.04729697395873153,7.797579980391826,2.2274309798963685e-17,91
latent_155,0.04692276384055473,7.732848742586236,3.3630004401623775e-17,92
latent_206,0.04668016440509472,7.6909108032823585,4.3912484534792834e-17,93
latent_149,0.04550439761641107,7.487959121483719,1.5943877199405615e-16,94
latent_175,0.0452997277990383,7.452681698622762,1.994411434864063e-16,95
