Feature,Correlation,P_Value,Abs_Correlation,Rank
latent_106,0.07601678298996584,5.755464321816067e-10,0.07601678298996584,91
latent_182,-0.0743431737514264,1.3597937852751132e-09,0.0743431737514264,92
latent_42,0.07406435746401765,1.566391723614127e-09,0.07406435746401765,93
latent_240,0.0734232717005836,2.1642057309410645e-09,0.0734232717005836,94
latent_103,-0.0730459027687313,2.6145308677979836e-09,0.0730459027687313,95
latent_169,-0.07199493455196357,4.404393541688112e-09,0.07199493455196357,96
latent_201,0.07142059119834694,5.838896934891216e-09,0.07142059119834694,97
latent_188,-0.07134618621413347,6.055144017789597e-09,0.07134618621413347,98
latent_50,-0.07118042948462519,6.565265979890868e-09,0.07118042948462519,99
latent_47,0.07100434087378199,7.152930500242385e-09,0.07100434087378199,100
latent_207,-0.07019067356657945,1.0601733073764637e-08,0.07019067356657945,101
latent_190,0.06991627657641233,1.2094362620145877e-08,0.06991627657641233,102
latent_143,0.06874499355126809,2.1103934786902228e-08,0.06874499355126809,103
latent_39,-0.0687025636473583,2.1530235367696682e-08,0.0687025636473583,104
latent_199,-0.06769061199441517,3.4568348237511474e-08,0.06769061199441517,105
latent_41,0.06732643150167006,4.092316755546347e-08,0.06732643150167006,106
latent_78,-0.06695332363088612,4.860335885044824e-08,0.06695332363088612,107
latent_168,-0.06647363338346125,6.055100861839086e-08,0.06647363338346125,108
latent_54,0.06643461022814483,6.163934797102151e-08,0.06643461022814483,109
latent_53,-0.066074468546596,7.261984988033519e-08,0.066074468546596,110
latent_158,0.06573084932563009,8.484842210668282e-08,0.06573084932563009,111
latent_72,-0.065699685630663,8.605121305528133e-08,0.065699685630663,112
latent_253,-0.06411785769765228,1.7435973380792903e-07,0.06411785769765228,113
latent_58,-0.0623923382156565,3.6976922917508935e-07,0.0623923382156565,114
latent_238,-0.06199433945510953,4.38574591952435e-07,0.06199433945510953,115
latent_109,-0.06196008700218702,4.4504186112979064e-07,0.06196008700218702,116
latent_220,0.06152308318365057,5.360685939004223e-07,0.06152308318365057,117
latent_216,-0.06151895543163539,5.370085318512675e-07,0.06151895543163539,118
latent_163,-0.060651886927550455,7.739882967333433e-07,0.060651886927550455,119
latent_123,0.06015913481962183,9.506275661126721e-07,0.06015913481962183,120
latent_12,0.05944263595701786,1.278222172434941e-06,0.05944263595701786,121
latent_242,0.05938666040940543,1.307952525465454e-06,0.05938666040940543,122
latent_127,-0.059253743463837015,1.3812368006668139e-06,0.059253743463837015,123
