Latent_Dimension_Index,Age,Sex,Scanner,Scanner Model,Patient Hand,SBR_PC1,SBR_PC2,SBR_PC3
181,0.009128888490598642,0.0,0.0445821502821046,0.052115146126515126,0.0,0.0,0.0,0.0
185,0.02199900371659898,0.043038988415790624,0.01854613336266266,0.03276308282981947,0.0,0.0,0.0,0.0
187,0.0,0.007501146587775056,0.03324318716902959,0.07378053690466924,0.0,0.0,0.03390228620377176,0.035686181622093686
192,0.0,0.0,0.05159963326848115,0.06785687234952523,0.0,0.0,0.0,0.0
196,0.0,0.011511842688123358,0.03276448755203606,0.074759557425541,0.0,0.0,0.01615533068970688,0.01571586411927256
197,0.007393563937766807,0.007020252581353245,0.03821414225608184,0.05952668741398988,0.0,0.0,0.0,0.0
207,0.0,0.0,0.034461726474609274,0.07448588411439051,0.0,0.0,0.0,0.0
212,0.026289394118901046,0.016717147589080786,0.05998111104464246,0.0714479250827599,0.0,0.0,0.03185473609893909,0.03775228057725289
213,0.008622026524670432,0.0,0.17343067497167633,0.1897071052415638,0.0,0.0,0.037555840227263285,0.06971152246380838
214,0.004842680543521288,0.0,0.03352674261189668,0.0681344944990701,0.0,0.0,0.0,0.0
216,0.024089181228887476,0.009546560708618236,0.0,0.0287086172609798,0.0,0.018935981179427037,0.0,0.0706042700202047
217,0.030838565098030457,0.0,0.017285453176701136,0.030807661582382528,0.0,0.0,0.0,0.0
220,0.0,0.0,0.0693146465219428,0.09255670665151046,0.0,0.0,0.0,0.0
222,0.0,0.0,0.057168465454076965,0.070997895247785,0.0,0.0,0.04564676374936081,0.007728537927496951
229,0.0,0.0,0.037245054834776664,0.060554163312458116,0.0,0.02221774297328354,0.013128690665006515,0.07898259600153162
231,0.07610826016398912,0.014337167770518645,0.11060244779800636,0.1280454459267998,0.0,0.049269147644359676,0.0,0.06466472704606875
233,0.03625659095423271,0.013643244525433746,0.023208568737755415,0.03399426126539538,0.0,0.0,0.0,0.0
248,0.012379532458399524,0.015001161745470665,0.04348906370711101,0.06314710582703868,0.0,0.0,0.0,0.010009917810420212
250,0.010856887467676348,0.0068350458494671005,0.061874922792719236,0.06874020853449499,0.0,0.10603631246822935,0.02552446257738316,0.0
251,0.0,0.0,0.08778064703642754,0.10261841281829724,0.0,0.0,0.0,0.023840204664987572
