Latent_Dim,Brain_Region,Correlation,P_Value,Abs_Correlation
latent_33,Putamen_L,-0.06001203635345796,1.008591197509995e-06,0.06001203635345796
latent_142,Putamen_R,-0.05922164146861211,1.3969652790828767e-06,0.05922164146861211
latent_53,Caudate_R,-0.05721691478760973,3.134295072378335e-06,0.05721691478760973
latent_22,Putamen_L,-0.055379280769357477,6.426167691268562e-06,0.055379280769357477
latent_114,Caudate_L,0.05381482160609123,1.1640613068659128e-05,0.05381482160609123
latent_53,Putamen_R_Ant,0.04763726953378413,0.00010431601685481813,0.04763726953378413
latent_42,Putamen_R,-0.04643282841565832,0.00015550378971966955,0.04643282841565832
latent_22,Putamen_R,-0.04546678345296031,0.0002127782792022019,0.04546678345296031
latent_142,Caudate_R,0.037434286151650877,0.0022993070019927857,0.037434286151650877
latent_42,Putamen_L_Ant,-0.03612861074621137,0.003259197725375835,0.03612861074621137
latent_142,Putamen_L_Ant,-0.03421917507134725,0.005326737645630735,0.03421917507134725
latent_33,Caudate_L,0.033240396680894714,0.006792889472511932,0.033240396680894714
latent_33,Putamen_R_Ant,-0.030795659437496712,0.012153605795169622,0.030795659437496712
latent_25,Putamen_L,-0.02441806498192336,0.04679423259766757,0.02441806498192336
latent_22,Putamen_R_Ant,0.024376055456617675,0.04717380995474248,0.024376055456617675
latent_42,Putamen_R_Ant,-0.02427271106959939,0.04811861087833496,0.02427271106959939
latent_33,Putamen_L_Ant,-0.02358637127580678,0.054804760323743935,0.02358637127580678
latent_33,Caudate_R,0.018234869768349784,0.137646022756783,0.018234869768349784
latent_142,Putamen_R_Ant,-0.01539969923067688,0.20993088033690124,0.01539969923067688
latent_22,Putamen_L_Ant,0.01014747589299779,0.408735007819889,0.01014747589299779
latent_25,Caudate_L,0.009401482373650145,0.4440414249665753,0.009401482373650145
latent_142,Caudate_L,0.009001716630816885,0.4636561877691472,0.009001716630816885
latent_53,Putamen_L_Ant,-0.008540382091986355,0.4868794918214085,0.008540382091986355
latent_42,Caudate_R,0.006971491647539725,0.5703390315401138,0.006971491647539725
latent_25,Putamen_L_Ant,-0.0037299905076136545,0.7613887900089013,0.0037299905076136545
latent_42,Caudate_L,0.0031307235719039463,0.798822629649481,0.0031307235719039463
